zaxis,yaxis,H,Na,K,Mg,Ca,Ba,Ti,V,Mn,Fe,Ni,Cu,Ag,Zn,B,Al,C,Si,Pb,REE,U,F,Cl,O,S,Se,P,As,Sb,Bi
H,H,2879,634,310,450,868,141,192,153,376,657,63,329,5,179,189,792,285,963,200,195,235,169,217,2860,449,19,463,341,32,42
H,Na,634,634,140,103,239,50,103,22,95,149,2,17,0,12,52,199,60,385,6,52,26,74,53,634,88,2,76,25,6,1
H,K,310,140,310,54,118,29,57,9,43,78,1,19,1,9,10,107,12,193,4,8,19,25,30,310,51,1,30,12,2,0
H,Mg,450,103,54,450,130,12,17,14,42,114,5,15,0,20,59,173,48,183,7,8,19,28,27,450,56,1,70,33,2,1
H,Ca,868,239,118,130,868,31,52,41,118,173,5,49,1,28,88,277,90,422,14,84,52,77,74,868,81,2,131,92,3,2
H,Ba,141,50,29,12,31,141,43,13,26,37,0,2,0,1,7,42,12,88,2,11,14,21,13,141,5,1,26,8,0,0
H,Ti,192,103,57,17,52,43,192,12,45,72,0,2,0,15,6,19,2,135,4,44,13,40,9,192,1,0,11,6,3,0
H,V,153,22,9,14,41,13,12,153,22,27,3,10,0,6,4,30,1,24,14,7,19,5,2,153,9,0,11,6,0,4
H,Mn,376,95,43,42,118,26,45,22,376,94,3,5,1,25,13,68,15,188,18,29,5,32,27,376,17,0,77,50,1,0
H,Fe,657,149,78,114,173,37,72,27,94,657,9,30,1,44,18,156,20,228,43,42,20,34,41,657,108,1,155,86,6,10
H,Ni,63,2,1,5,5,0,0,3,3,9,63,7,0,2,0,8,13,7,1,0,4,0,5,62,16,1,2,11,2,1
H,Cu,329,17,19,15,49,2,2,10,5,30,7,329,2,27,4,42,31,29,53,10,17,7,58,328,78,8,36,85,7,7
H,Ag,5,0,1,0,1,0,0,0,1,1,0,2,5,1,0,0,0,0,2,0,0,0,2,5,1,0,0,0,1,0
H,Zn,179,12,9,20,28,1,15,6,25,44,2,27,1,179,0,31,11,32,17,4,4,3,9,179,36,0,24,51,3,0
H,B,189,52,10,59,88,7,6,4,13,18,0,4,0,0,189,50,11,77,4,14,0,16,28,188,8,0,4,2,0,0
H,Al,792,199,107,173,277,42,19,30,68,156,8,42,0,31,50,792,53,414,28,49,18,78,37,792,128,1,155,44,5,1
H,C,285,60,12,48,90,12,2,1,15,20,13,31,0,11,11,53,285,45,23,50,29,13,23,274,31,0,16,3,0,0
H,Si,963,385,193,183,422,88,135,24,188,228,7,29,0,32,77,414,45,963,27,95,19,90,56,961,35,0,17,16,2,1
H,Pb,200,6,4,7,14,2,4,14,18,43,1,53,2,17,4,28,23,27,200,6,26,6,39,199,40,5,25,41,4,5
H,REE,195,52,8,8,84,11,44,7,29,42,0,10,0,4,14,49,50,95,6,195,19,35,7,195,8,0,24,12,0,0
H,U,235,26,19,19,52,14,13,19,5,20,4,17,0,4,0,18,29,19,26,19,235,7,1,235,35,7,52,34,0,6
H,F,169,74,25,28,77,21,40,5,32,34,0,7,0,3,16,78,13,90,6,35,7,169,11,166,18,0,32,3,1,0
H,Cl,217,53,30,27,74,13,9,2,27,41,5,58,2,9,28,37,23,56,39,7,1,11,217,212,32,1,3,15,3,2
H,O,2860,634,310,450,868,141,192,153,376,657,62,328,5,179,188,792,274,961,199,195,235,166,212,2860,449,19,463,341,32,41
H,S,449,88,51,56,81,5,1,9,17,108,16,78,1,36,8,128,31,35,40,8,35,18,32,449,449,2,21,20,10,4
H,Se,19,2,1,1,2,1,0,0,0,1,1,8,0,0,0,1,0,0,5,0,7,0,1,19,2,19,0,0,0,1
H,P,463,76,30,70,131,26,11,11,77,155,2,36,0,24,4,155,16,17,25,24,52,32,3,463,21,0,463,3,0,10
H,As,341,25,12,33,92,8,6,6,50,86,11,85,0,51,2,44,3,16,41,12,34,3,15,341,20,0,3,341,7,13
H,Sb,32,6,2,2,3,0,3,0,1,6,2,7,1,3,0,5,0,2,4,0,0,1,3,32,10,0,0,7,32,0
H,Bi,42,1,0,1,2,0,0,4,0,10,1,7,0,0,0,1,0,1,5,0,6,0,2,41,4,1,10,13,0,42
Na,H,634,634,140,103,239,50,103,22,95,149,2,17,0,12,52,199,60,385,6,52,26,74,53,634,88,2,76,25,6,1
Na,Na,634,975,193,168,363,70,157,29,143,222,2,36,0,17,65,274,103,550,12,101,31,184,85,951,130,3,139,42,11,4
Na,K,140,193,193,33,89,22,47,4,36,42,0,8,0,4,7,59,10,146,4,7,4,26,23,188,32,1,10,2,1,0
Na,Mg,103,168,33,168,66,4,15,6,16,52,0,4,0,1,15,72,10,104,0,1,1,31,3,165,14,1,25,8,0,0
Na,Ca,239,363,89,66,363,25,52,9,62,91,0,12,0,0,17,129,42,225,5,52,11,94,47,358,37,0,57,20,2,0
Na,Ba,50,70,22,4,25,70,37,0,14,16,0,0,0,0,4,13,9,49,1,16,3,26,3,69,2,0,12,0,0,0
Na,Ti,103,157,47,15,52,37,157,1,40,46,0,1,0,5,3,6,4,141,3,26,2,55,6,157,1,0,11,2,2,0
Na,V,22,29,4,6,9,0,1,29,5,4,0,1,0,0,3,3,0,7,0,0,1,0,0,29,0,0,0,1,0,0
Na,Mn,95,143,36,16,62,14,40,5,143,42,0,0,0,3,6,21,9,94,3,19,1,32,14,142,5,0,29,8,1,0
Na,Fe,149,222,42,52,91,16,46,4,42,222,0,11,0,4,12,60,7,134,4,20,2,42,25,220,18,0,44,18,1,0
Na,Ni,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0
Na,Cu,17,36,8,4,12,0,1,1,0,11,0,36,0,1,0,3,5,3,1,1,0,0,10,35,9,1,3,14,1,0
Na,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na,Zn,12,17,4,1,0,0,5,0,3,4,0,1,0,17,0,3,0,10,1,4,0,3,1,16,4,0,0,1,0,0
Na,B,52,65,7,15,17,4,3,3,6,12,0,0,0,0,65,20,1,43,0,7,0,15,4,63,3,0,3,2,0,0
Na,Al,199,274,59,72,129,13,6,3,21,60,0,3,0,3,20,274,18,199,2,2,1,48,26,265,36,0,36,7,0,0
Na,C,60,103,10,10,42,9,4,0,9,7,1,5,0,0,1,18,103,23,1,32,6,16,11,103,16,0,13,1,0,0
Na,Si,385,550,146,104,225,49,141,7,94,134,0,3,0,10,43,199,23,550,0,55,3,112,44,547,28,0,21,4,0,0
Na,Pb,6,12,4,0,5,1,3,0,3,4,0,1,0,1,0,2,1,0,12,3,3,2,3,12,2,0,1,3,0,0
Na,REE,52,101,7,1,52,16,26,0,19,20,0,1,0,4,7,2,32,55,3,101,3,41,8,97,3,0,18,2,0,0
Na,U,26,31,4,1,11,3,2,1,1,2,0,0,0,0,0,1,6,3,3,3,31,3,1,31,11,1,2,1,0,0
Na,F,74,184,26,31,94,26,55,0,32,42,0,0,0,3,15,48,16,112,2,41,3,184,12,165,11,0,29,6,1,1
Na,Cl,53,85,23,3,47,3,6,0,14,25,0,10,0,1,4,26,11,44,3,8,1,12,85,82,32,1,3,8,1,1
Na,O,634,951,188,165,358,69,157,29,142,220,2,35,0,16,63,265,103,547,12,97,31,165,82,951,128,3,139,42,11,4
Na,S,88,130,32,14,37,2,1,0,5,18,1,9,0,4,3,36,16,28,2,3,11,11,32,128,130,0,2,1,3,2
Na,Se,2,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,0
Na,P,76,139,10,25,57,12,11,0,29,44,0,3,0,0,3,36,13,21,1,18,2,29,3,139,2,0,139,0,0,0
Na,As,25,42,2,8,20,0,2,1,8,18,0,14,0,1,2,7,1,4,3,2,1,6,8,42,1,0,0,42,3,0
Na,Sb,6,11,1,0,2,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,11,3,0,0,3,11,0
Na,Bi,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,0,0,0,0,4
K,H,310,140,310,54,118,29,57,9,43,78,1,19,1,9,10,107,12,193,4,8,19,25,30,310,51,1,30,12,2,0
K,Na,140,193,193,33,89,22,47,4,36,42,0,8,0,4,7,59,10,146,4,7,4,26,23,188,32,1,10,2,1,0
K,K,310,193,476,79,152,33,75,15,56,108,2,45,2,19,18,148,19,280,11,12,21,59,61,450,90,3,33,19,4,1
K,Mg,54,33,79,79,21,4,9,2,10,27,0,1,0,2,3,30,1,52,0,0,1,14,4,78,11,1,6,0,0,0
K,Ca,118,89,152,21,152,16,20,3,17,27,0,6,0,2,5,63,11,113,2,8,7,26,21,151,24,0,11,4,0,0
K,Ba,29,22,33,4,16,33,18,1,8,8,0,1,0,0,2,11,1,27,2,3,1,8,1,33,0,0,0,0,0,0
K,Ti,57,47,75,9,20,18,75,1,18,23,0,0,0,3,1,6,0,64,1,1,0,12,3,75,1,0,3,2,0,0
K,V,9,4,15,2,3,1,1,15,2,2,0,2,0,0,0,1,0,3,0,0,2,0,1,14,2,0,0,0,0,0
K,Mn,43,36,56,10,17,8,18,2,56,14,0,0,0,4,1,13,0,45,0,1,0,12,3,54,1,0,5,0,0,0
K,Fe,78,42,108,27,27,8,23,2,14,108,1,8,1,3,0,30,1,60,1,0,0,12,13,101,22,0,13,3,1,1
K,Ni,1,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
K,Cu,19,8,45,1,6,1,0,2,0,8,1,45,2,1,0,4,1,6,3,0,0,0,17,40,19,2,0,8,2,1
K,Ag,1,0,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
K,Zn,9,4,19,2,2,0,3,0,4,3,0,1,0,19,1,6,0,12,1,0,0,0,5,17,1,1,0,2,0,0
K,B,10,7,18,3,5,2,1,0,1,0,0,0,0,1,18,6,0,9,1,1,0,4,4,16,1,0,0,0,0,0
K,Al,107,59,148,30,63,11,6,1,13,30,0,4,0,6,6,148,5,121,1,0,0,16,15,147,23,0,9,3,0,0
K,C,12,10,19,1,11,1,0,0,0,1,0,1,0,0,0,5,19,7,0,2,3,1,4,19,4,0,0,0,0,0
K,Si,193,146,280,52,113,27,64,3,45,60,0,6,0,12,9,121,7,280,1,11,3,50,18,276,15,0,2,1,0,0
K,Pb,4,4,11,0,2,2,1,0,0,1,0,3,1,1,1,1,0,1,11,1,1,1,5,8,3,1,0,1,1,0
K,REE,8,7,12,0,8,3,1,0,1,0,0,0,0,0,1,0,2,11,1,12,0,3,0,12,0,0,0,0,0,0
K,U,19,4,21,1,7,1,0,2,0,0,0,0,0,0,0,0,3,3,1,0,21,0,0,21,5,0,3,2,0,0
K,F,25,26,59,14,26,8,12,0,12,12,0,0,0,0,4,16,1,50,1,3,0,59,3,51,4,0,2,0,0,0
K,Cl,30,23,61,4,21,1,3,1,3,13,1,17,1,5,4,15,4,18,5,0,0,3,61,49,17,2,0,3,0,1
K,O,310,188,450,78,151,33,75,14,54,101,1,40,1,17,16,147,19,276,8,12,21,51,49,450,82,3,33,19,2,1
K,S,51,32,90,11,24,0,1,2,1,22,2,19,1,1,1,23,4,15,3,0,5,4,17,82,90,0,0,1,4,1
K,Se,1,1,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,2,3,0,3,0,0,0,0
K,P,30,10,33,6,11,0,3,0,5,13,0,0,0,0,0,9,0,2,0,0,3,2,0,33,0,0,33,0,0,0
K,As,12,2,19,0,4,0,2,0,0,3,0,8,0,2,0,3,0,1,1,0,2,0,3,19,1,0,0,19,1,0
K,Sb,2,1,4,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,2,4,0,0,1,4,0
K,Bi,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
Mg,H,450,103,54,450,130,12,17,14,42,114,5,15,0,20,59,173,48,183,7,8,19,28,27,450,56,1,70,33,2,1
Mg,Na,103,168,33,168,66,4,15,6,16,52,0,4,0,1,15,72,10,104,0,1,1,31,3,165,14,1,25,8,0,0
Mg,K,54,33,79,79,21,4,9,2,10,27,0,1,0,2,3,30,1,52,0,0,1,14,4,78,11,1,6,0,0,0
Mg,Mg,450,168,79,649,197,25,48,17,63,178,5,19,0,22,82,235,58,276,8,18,19,76,36,641,65,1,92,41,8,1
Mg,Ca,130,66,21,197,197,9,13,5,18,66,1,3,0,4,19,94,15,108,1,14,3,30,9,195,5,0,35,16,1,0
Mg,Ba,12,4,4,25,9,25,10,0,2,10,0,0,0,0,1,9,3,12,0,0,0,6,2,24,0,0,3,0,0,0
Mg,Ti,17,15,9,48,13,10,48,0,4,31,0,0,0,3,3,21,0,24,0,6,0,5,2,48,0,0,2,0,0,0
Mg,V,14,6,2,17,5,0,0,17,1,2,0,0,0,0,3,5,0,5,0,0,0,0,0,17,1,0,0,0,0,0
Mg,Mn,42,16,10,63,18,2,4,1,63,28,2,0,0,9,5,22,2,30,3,1,0,3,3,63,1,0,16,8,3,0
Mg,Fe,114,52,27,178,66,10,31,2,28,178,2,5,0,14,13,74,6,93,3,7,1,21,4,178,12,0,25,9,4,1
Mg,Ni,5,0,0,5,1,0,0,0,2,2,5,0,0,0,0,1,0,2,0,0,0,0,0,5,1,0,0,0,0,0
Mg,Cu,15,4,1,19,3,0,0,0,0,5,0,19,0,1,0,3,2,1,0,0,0,0,3,19,4,0,1,6,0,0
Mg,Ag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg,Zn,20,1,2,22,4,0,3,0,9,14,0,1,0,22,0,11,1,6,0,0,0,0,0,22,2,0,2,4,1,0
Mg,B,59,15,3,82,19,1,3,3,5,13,0,0,0,0,82,29,6,30,1,0,0,8,9,82,1,0,1,1,2,0
Mg,Al,173,72,30,235,94,9,21,5,22,74,1,3,0,11,29,235,11,154,0,9,0,37,8,232,17,0,22,6,2,0
Mg,C,48,10,1,58,15,3,0,0,2,6,0,2,0,1,6,11,58,5,3,1,4,2,5,58,6,0,8,0,0,0
Mg,Si,183,104,52,276,108,12,24,5,30,93,2,1,0,6,30,154,5,276,3,13,3,48,7,276,1,0,3,4,1,0
Mg,Pb,7,0,0,8,1,0,0,0,3,3,0,0,0,0,1,0,3,3,8,0,1,1,2,8,1,0,0,1,0,0
Mg,REE,8,1,0,18,14,0,6,0,1,7,0,0,0,0,0,9,1,13,0,18,0,5,0,18,0,0,1,0,0,0
Mg,U,19,1,1,19,3,0,0,0,0,1,0,0,0,0,0,0,4,3,1,0,19,1,0,19,4,0,2,4,0,0
Mg,F,28,31,14,76,30,6,5,0,3,21,0,0,0,0,8,37,2,48,1,5,1,76,0,70,7,0,6,3,0,0
Mg,Cl,27,3,4,36,9,2,2,0,3,4,0,3,0,0,9,8,5,7,2,0,0,0,36,35,6,0,0,0,0,0
Mg,O,450,165,78,641,195,24,48,17,63,178,5,19,0,22,82,232,58,276,8,18,19,70,35,641,64,1,92,41,8,1
Mg,S,56,14,11,65,5,0,0,1,1,12,1,4,0,2,1,17,6,1,1,0,4,7,6,64,65,0,0,0,0,0
Mg,Se,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Mg,P,70,25,6,92,35,3,2,0,16,25,0,1,0,2,1,22,8,3,0,1,2,6,0,92,0,0,92,0,0,0
Mg,As,33,8,0,41,16,0,0,0,8,9,0,6,0,4,1,6,0,4,1,0,4,3,0,41,0,0,0,41,0,1
Mg,Sb,2,0,0,8,1,0,0,0,3,4,0,0,0,1,2,2,0,1,0,0,0,0,0,8,0,0,0,0,8,0
Mg,Bi,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Ca,H,868,239,118,130,868,31,52,41,118,173,5,49,1,28,88,277,90,422,14,84,52,77,74,868,81,2,131,92,3,2
Ca,Na,239,363,89,66,363,25,52,9,62,91,0,12,0,0,17,129,42,225,5,52,11,94,47,358,37,0,57,20,2,0
Ca,K,118,89,152,21,152,16,20,3,17,27,0,6,0,2,5,63,11,113,2,8,7,26,21,151,24,0,11,4,0,0
Ca,Mg,130,66,21,197,197,9,13,5,18,66,1,3,0,4,19,94,15,108,1,14,3,30,9,195,5,0,35,16,1,0
Ca,Ca,868,363,152,197,1248,56,105,50,154,245,5,57,1,35,111,371,135,618,28,136,60,184,100,1233,106,2,182,111,15,4
Ca,Ba,31,25,16,9,56,56,10,3,10,12,0,1,0,0,5,15,12,31,3,8,4,19,5,55,3,0,8,1,0,0
Ca,Ti,52,52,20,13,105,10,105,1,25,35,0,0,0,0,4,15,0,71,0,28,6,32,6,105,1,0,5,3,2,0
Ca,V,41,9,3,5,50,3,1,50,2,8,0,1,0,0,0,7,1,12,0,1,3,2,0,50,0,0,2,4,0,0
Ca,Mn,118,62,17,18,154,10,25,2,154,52,1,0,1,5,6,27,8,86,4,16,0,20,14,154,3,0,35,13,2,0
Ca,Fe,173,91,27,66,245,12,35,8,52,245,0,8,0,9,13,89,4,143,4,31,5,26,23,245,5,0,54,27,5,1
Ca,Ni,5,0,0,1,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0
Ca,Cu,49,12,6,3,57,1,0,1,0,8,0,57,0,5,2,7,6,10,4,2,2,0,11,56,9,0,6,25,2,2
